,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
161,2014-03-01,Mar 2014,AMR,Region of the Americas,Bermuda,BMU,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
162,2014-03-01,Mar 2014,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,5566.0,888.0,96.0,0.0,0.0,0.01724757455982752,0.0,0.0006625327555512706,0.01399234574931253,0.02102195007359875
163,2014-03-01,Mar 2014,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
164,2014-03-01,Mar 2014,AMR,Region of the Americas,Brazil,BRA,75075.0,33314.0,88.0,47.0,0.000626040626040626,0.001172161172161172,0.0004600262390483648,0.0008324153702002839,0.0009402103911578876,0.001443938926234851
165,2014-03-01,Mar 2014,AMR,Region of the Americas,British Virgin Islands,VGB,,,,,,,,,,
166,2014-03-01,Mar 2014,AMR,Region of the Americas,Canada,CAN,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
167,2014-03-01,Mar 2014,AMR,Region of the Americas,Cayman Islands,CYM,,,,,,,,,,
168,2014-03-01,Mar 2014,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
169,2014-03-01,Mar 2014,AMR,Region of the Americas,Colombia,COL,7287.0,3660.0,180.0,6.0,0.0008233841086867024,0.02470152326060107,0.0003022254900102957,0.001791292579990177,0.02126034091876829,0.02852973295745587
170,2014-03-01,Mar 2014,AMR,Region of the Americas,Costa Rica,CRI,335.0,,,0.0,0.0,,0.0,0.01095117493134867,,
171,2014-03-01,Mar 2014,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
172,2014-03-01,Mar 2014,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
173,2014-03-01,Mar 2014,AMR,Region of the Americas,Dominica,DMA,,,,,,,,,,
174,2014-03-01,Mar 2014,AMR,Region of the Americas,Dominican Republic,DOM,454.0,,17.0,1.0,0.002202643171806168,0.03744493392070485,5.576454198181878e-05,0.01221073083577018,0.02196164927670837,0.05927735820736579
175,2014-03-01,Mar 2014,AMR,Region of the Americas,Ecuador,ECU,1297.0,1297.0,4.0,0.0,0.0,0.003084040092521203,0.0,0.002840122233367129,0.0008409166812118477,0.00787738494466117
176,2014-03-01,Mar 2014,AMR,Region of the Americas,El Salvador,SLV,2135.0,793.0,21.0,1.0,0.000468384074941452,0.009836065573770493,1.185838776103093e-05,0.00260687672707879,0.006098698717219424,0.0149963604835156
177,2014-03-01,Mar 2014,AMR,Region of the Americas,French Guiana,GUF,,,,,,,,,,
178,2014-03-01,Mar 2014,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
179,2014-03-01,Mar 2014,AMR,Region of the Americas,Guadeloupe,GLP,,,,,,,,,,
180,2014-03-01,Mar 2014,AMR,Region of the Americas,Guatemala,GTM,511.0,71.0,4.0,0.0,0.0,0.007827788649706457,0.0,0.007192948204441052,0.002136808114769478,0.01992012897620765
181,2014-03-01,Mar 2014,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
182,2014-03-01,Mar 2014,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
183,2014-03-01,Mar 2014,AMR,Region of the Americas,Honduras,HND,866.0,,101.0,0.0,0.0,0.1166281755196305,0.0,0.004250616492161762,0.09600628119876393,0.1398985712428478
184,2014-03-01,Mar 2014,AMR,Region of the Americas,Jamaica,JAM,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2470526380004709,0.0,0.2470526380004709
185,2014-03-01,Mar 2014,AMR,Region of the Americas,Martinique,MTQ,1505.0,0.0,11.0,0.0,0.0,0.007308970099667774,0.0,0.002448081243346114,0.003654092929954271,0.01304005376749084
186,2014-03-01,Mar 2014,AMR,Region of the Americas,Mexico,MEX,4715.0,887.0,258.0,0.0,0.0,0.05471898197242842,0.0,0.0007820650676866554,0.04839869284358253,0.06159751222850773
187,2014-03-01,Mar 2014,AMR,Region of the Americas,Montserrat,MSR,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
188,2014-03-01,Mar 2014,AMR,Region of the Americas,Nicaragua,NIC,1776.0,82.0,0.0,0.0,0.0,0.0,0.0,0.002074916143863946,0.0,0.002074916143863946
189,2014-03-01,Mar 2014,AMR,Region of the Americas,Panama,PAN,,,,,,,,,,
190,2014-03-01,Mar 2014,AMR,Region of the Americas,Paraguay,PRY,1123.0,106.0,0.0,0.0,0.0,0.0,0.0,0.003279454484811465,0.0,0.003279454484811465
191,2014-03-01,Mar 2014,AMR,Region of the Americas,Peru,PER,1790.0,1478.0,4.0,1.0,0.0005586592178770949,0.00223463687150838,1.41439267805903e-05,0.003108678007697503,0.0006091885001239822,0.005711589220871032
192,2014-03-01,Mar 2014,AMR,Region of the Americas,Puerto Rico,PRI,337.0,148.0,0.0,0.0,0.0,0.0,0.0,0.01088653785959537,0.0,0.01088653785959537
193,2014-03-01,Mar 2014,AMR,Region of the Americas,Saint Barthélemy,BLM,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
194,2014-03-01,Mar 2014,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
